[2583225:MainThread](2026-09-09 12:23:31,415) INFO - qlib.Initialization - [config.py:441] - default_conf: client.
[2583225:MainThread](2026-09-09 12:23:31,440) INFO - qlib.ddb_features - [ddb_features.py:116] - 已注册 qlib 兼容函数到 DolphinDB 会话
[2583225:MainThread](2026-09-09 12:23:31,440) INFO - qlib.Initialization - [__init__.py:94] - qlib successfully initialized based on client settings.
[2583225:MainThread](2026-09-09 12:23:31,440) INFO - qlib.Initialization - [__init__.py:111] - data_path={'__DEFAULT_FREQ': 'DolphinDB(dolphindb://admin:***@100.**.**.25:***)'}
2026-09-09 12:23:31.440 | INFO     | kronos_qlib.provider:init_qlib_once:108 - Qlib 初始化成功 - URI: dolphindb://admin:***@100.**.**.25:***
[2583225:MainThread](2026-09-09 12:23:31,538) WARNING - qlib.BaseExecutor - [executor.py:121] - `common_infra` is not set for <qlib.backtest.executor.SimulatorExecutor object at 0x7fa48c0067b0>
[2583225:MainThread](2026-09-09 12:23:32,131) INFO - qlib.backtest caller - [__init__.py:93] - Create new exchange
backtest loop:   0%|          | 0/126 [00:00<?, ?it/s]backtest loop:  27%|██▋       | 34/126 [00:00<00:00, 320.42it/s]backtest loop:  54%|█████▍    | 68/126 [00:00<00:00, 323.26it/s]backtest loop:  82%|████████▏ | 103/126 [00:00<00:00, 332.61it/s]backtest loop: 100%|██████████| 126/126 [00:00<00:00, 325.72it/s]
[2583225:MainThread](2026-09-09 12:23:33,681) WARNING - qlib.BaseExecutor - [executor.py:121] - `common_infra` is not set for <qlib.backtest.executor.SimulatorExecutor object at 0x7fa508941d10>
[2583225:MainThread](2026-09-09 12:23:34,376) INFO - qlib.backtest caller - [__init__.py:93] - Create new exchange
backtest loop:   0%|          | 0/134 [00:00<?, ?it/s]backtest loop:  25%|██▌       | 34/134 [00:00<00:00, 332.39it/s]backtest loop:  51%|█████     | 68/134 [00:00<00:00, 335.95it/s]backtest loop:  76%|███████▌  | 102/134 [00:00<00:00, 333.57it/s]backtest loop: 100%|██████████| 134/134 [00:00<00:00, 335.20it/s]
2026-09-09 12:23:36.379 | INFO     | lora_mean_pilot.evaluate:reproduce_gate:70 - [gate] 0b982e8 G1 report 复现 max|Δ| 8.5e-16 OK
[2583225:MainThread](2026-09-09 12:23:36,398) WARNING - qlib.BaseExecutor - [executor.py:121] - `common_infra` is not set for <qlib.backtest.executor.SimulatorExecutor object at 0x7fa48c05e350>
[2583225:MainThread](2026-09-09 12:23:36,934) INFO - qlib.backtest caller - [__init__.py:93] - Create new exchange
backtest loop:   0%|          | 0/126 [00:00<?, ?it/s]backtest loop:  26%|██▌       | 33/126 [00:00<00:00, 327.00it/s]backtest loop:  52%|█████▏    | 66/126 [00:00<00:00, 318.19it/s]backtest loop:  79%|███████▉  | 100/126 [00:00<00:00, 326.71it/s]backtest loop: 100%|██████████| 126/126 [00:00<00:00, 321.77it/s]
[2583225:MainThread](2026-09-09 12:23:38,511) WARNING - qlib.BaseExecutor - [executor.py:121] - `common_infra` is not set for <qlib.backtest.executor.SimulatorExecutor object at 0x7fa48c013100>
[2583225:MainThread](2026-09-09 12:23:39,200) INFO - qlib.backtest caller - [__init__.py:93] - Create new exchange
backtest loop:   0%|          | 0/134 [00:00<?, ?it/s]backtest loop:  25%|██▍       | 33/134 [00:00<00:00, 325.13it/s]backtest loop:  49%|████▉     | 66/134 [00:00<00:00, 324.94it/s]backtest loop:  74%|███████▍  | 99/134 [00:00<00:00, 323.48it/s]backtest loop: 100%|██████████| 134/134 [00:00<00:00, 331.86it/s]backtest loop: 100%|██████████| 134/134 [00:00<00:00, 329.02it/s]
[2583225:MainThread](2026-09-09 12:23:41,258) INFO - qlib.workflow - [exp.py:258] - Experiment 560390365463935469 starts running ...
[2583225:MainThread](2026-09-09 12:23:41,368) INFO - qlib.workflow - [recorder.py:345] - Recorder fdbce6ccd18a48afaa7354e0ad104f20 starts running under Experiment 560390365463935469 ...
2026-09-09 12:23:42.919 | INFO     | kronos_qlib.windows:build_inference_windows:165 - build_inference_windows(2025-07-01, pool=csi300, lookback=90, predict_len=10): pool=300 kept=295 skipped_short=0 skipped_halt=5
2026-09-09 16:23:46.174 | INFO     | kronos_qlib.windows:build_inference_windows:165 - build_inference_windows(2026-03-19, pool=csi300, lookback=90, predict_len=10): pool=300 kept=294 skipped_short=0 skipped_halt=6
2026-09-09 16:24:21.810 | INFO     | kronos_qlib.windows:build_inference_windows:165 - build_inference_windows(2026-03-20, pool=csi300, lookback=90, predict_len=10): pool=300 kept=294 skipped_short=0 skipped_halt=6
2026-09-09 16:24:57.482 | INFO     | kronos_qlib.windows:build_inference_windows:165 - build_inference_windows(2026-03-23, pool=csi300, lookback=90, predict_len=10): pool=300 kept=294 skipped_short=0 skipped_halt=6
2026-09-09 16:25:32.573 | WARNING  | __main__:_score_window_resumable:103 - [guard] 2026-03-24 进入 16:30 守卫窗，卸载模型
[2583225:MainThread](2026-09-09 16:25:32,574) INFO - qlib.timer - [log.py:127] - Time cost: 0.000s | waiting `async_log` Done
[2583225:MainThread](2026-09-09 16:25:32,574) ERROR - qlib.workflow - [utils.py:41] - An exception has been raised[AttributeError: 'KronosPredictor' object has no attribute 'to'].
  File "<frozen runpy>", line 203, in _run_module_as_main
  File "<frozen runpy>", line 88, in _run_code
  File "/home/user/workspace/Kronos-lora-pilot/lora_mean_pilot/run.py", line 385, in <module>
    sys.exit(main())
             ~~~~^^
  File "/home/user/workspace/Kronos-lora-pilot/lora_mean_pilot/run.py", line 377, in main
    cmd_pilot()
    ~~~~~~~~~^^
  File "/home/user/workspace/Kronos-lora-pilot/lora_mean_pilot/run.py", line 268, in cmd_pilot
    pilot = _run_seed(100, bt_fn, cv_fn)
  File "/home/user/workspace/Kronos-lora-pilot/lora_mean_pilot/run.py", line 233, in _run_seed
    _score_window_resumable(predictor, tokenizer, w, provider,
    ~~~~~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
                            "cuda:0", seed, p)
                            ^^^^^^^^^^^^^^^^^^
  File "/home/user/workspace/Kronos-lora-pilot/lora_mean_pilot/run.py", line 104, in _score_window_resumable
    predictor.to("cpu")
    ^^^^^^^^^^^^
Loading weights from local directory
Loading weights from local directory
Loading weights from local directory
Loading weights from local directory
AttributeError: 'KronosPredictor' object has no attribute 'to'
